Start.time,Completion.time,Name,Age,Gender,Nationality,Employment.status,Duration.of.your.studies.in.Segovia.,Type.of.home.you.live.in.,Square.footage.of.the.property.,Number.of.roommates,Area.or.neighborhood.in.Segovia.where.you.live,Email,Duration of your lease,How long do you      expect to stay in your current residence?,How much do you pay monthly in your rental contract,"Which services and costs are included in the contract (internet, gas, water..)","Do you have any other service contracted (laundry, cleaning...) Please list them",What are the monthly cost of these services,Did you find the appartment thorugh a platform/portal/agency? ,Which one? ,What were the main difficulties you encountered when searching for housing?
1970-01-01 12:41:17.58397,45677.5885532407,,24,Woman,Belgium,Only studying,1 semester,Student residence ,95,1,On campus,anonymous,Study year,I will stay only as long as my studies last,275,all,Cleaning once a week,50€ each full cleaning manteinance included,No,Housing platform (dont remember name),NA;
1970-01-01 12:40:15.784826,45658.7391106529,,19,Woman,El Salvador,Only studying,1 year,Student residence ,80m2,1,Acueduct,,,I will move to another residence for the duration of my studies.,1880,Internet agua electricidad,"Daily cleaning, laundry, full board and parking",included,Yes,Betina camous,NA;
1970-01-01 12:41:06.51912,45670.6344482954,,20,Man,France,Only studying,2 years,Rental with a private landlord,50m2,0,Calle Juan bravo,anonymous,9 months,I will stay only as long as my studies last,875,All foo,cleaning and maintenance,,,Te tal Agency,Availability;
1970-01-01 12:41:06.529549,45668.9937120689,,20,Woman,Moldovan,Only studying,1 year a half,Student residence ,20m2,5,Acueducto,anonymous,10 months,I will move to another residence for the duration of my studies.,650,Wi-Fi water everything,Food cleaning (Cara),,No,Beyond IE,High prices;None met my expectations;
1970-01-01 12:40:15.778484,45677.5885532407,,20,Man,Egypt,Only studying,9 month,Student residence ,15,0,Acueduct,anonymous,1 year study,I will stay only as long as my studies last,1540,Wi-Fi water everything,manteinance and cleaning,NA,,Strident houses,High prices;None met my expectations;
1970-01-01 12:41:17.543866,45677.5885532407,,21,Woman,Seitzerlan turkey,Only studying,2 years,Rental with a company,120,0,Center,,1 year,I will stay only as long as my studies last,,All,Cleaning once a week,NA,No,Ie,Availability;High prices;
1970-01-01 12:41:17.517894,45613.8239564508,,20,Man,India,Only studying,6 month,Rental with a private landlord,60m2,3,San Facundo,anonymous,10 month,I will stay only as long as my studies last,1540,Gas electric unit,"Manteinance, cleaning once a week and information",included,No,Uniplaces,
1970-01-01 12:40:18.883924,45643.1521165006,,19,Man,Germany,Only studying,2 years,Student residence ,120,5,Plaza mayor,,6 months,I will stay only as long as my studies last,1880,Wi-Fi water everything,"Full Board, weekly bed linen and towel laundry service and cleaning",100,No,Idelaista,High prices;None met my expectations;
1970-01-01 12:41:12.497361,45677.1973932017,,18,Man,Mexico,Only studying,1 year,Student residence ,95,0,On campus,,1 curso académico,I will stay only as long as my studies last,1050,,Food cleaning (Cara),included,No,,NA;
1970-01-01 12:41:17.58397,45668.3784359839,,19,Man,Argentina,Only studying,2 years,Rental with a private landlord,20m2,0,Acueducto,,9  months,I will move to another residence for the duration of my studies.,1880,,All cleaning food,100,No,Beyind campos,Availability;
1970-01-01 12:41:17.525359,45664.6867794742,,19,Man,French lebanese,Studying and working ,2 year,Student residence ,20m2,2,Center (San Nicolás),,,I will stay only as long as my studies last,1000,All foo,None,Included,No,Housing platform (dont remember name),Availability;High prices;
1970-01-01 12:41:17.550949,45667.763159899,,20,Woman,Mexico,Only studying,2 years,Rental with a private landlord,95,1,San Lorenzo,,9 month,I will stay only as long as my studies last,1250,Everything,Cleaning and food (media pensión),NA,Yes,Uniplaces,High prices;
1970-01-01 12:41:17.586123,45611.7920601852,,20,Woman,Portuguese,Only studying,1 semester,Student residence ,20m2,5,Acueducto,anonymous,Julio 2025,I will stay only as long as my studies last,1250,No,All cleaning food,100,,Strident houses,High prices;
1970-01-01 12:41:11.462384,45632.8975150846,,20,Woman,Spain,Only studying,2 years,Student residence ,95,0,"Residencia al lado,  center",anonymous,Study year,I will move to another residence for the duration of my studies.,1150,Yes,Cleaning and manteinance,,,Betina camous,
1970-01-01 12:41:17.550949,45666.3275157007,,19,Woman,Phillipines,Only studying,1 year,Rental with a private landlord,80,0,Acueduct,,Academic year,I will stay only as long as my studies last,1150,,Breakfast cleaning gym,100,No,Betina camous,High prices;
1970-01-01 12:41:17.577187,45670.0191722105,,18,Man,France,Only studying,2 years,Rental with a company,75m,2,San Nicolás,anonymous,10 mints academic year,I will move to another residence for the duration of my studies.,1400,All foo,Cleaning and food (media pensión),included,No,Beyond camous,High prices;None met my expectations;
1970-01-01 12:40:29.810937,45672.275184522,,19,Man,Philippines,Only studying,2 year,Rental with a private landlord,30m2,1,San Lorenzo,anonymous,1 academic year,I will move to another residence for the duration of my studies.,1200,Wi-Fi water everything,cleaning and maintenance,Included,No,Ie,NA;
1970-01-01 12:41:06.52463,45671.2497243804,,20,Woman,Spain/China,Only studying,1 semester,Student residence ,160,3,Factory,,5 months,I will stay only as long as my studies last,1100,Wi-Fi water everything,Cleaning,laundry for 25€,,Friend,High prices;None met my expectations;
1970-01-01 12:41:12.502083,45657.0983744263,,18,Man,Hungary,Only studying,2 years,Rental with a private landlord,100,0,Factory,anonymous,1 academic year,I will stay only as long as my studies last,750,yes,50!yhree montha,-,,Ie,High prices;Availability;
1970-01-01 12:41:17.564988,45664.0715033892,,20,Woman,Española,Only studying,6 months,Student residence ,150,2,Plaza mayor,anonymous,9  months,I will stay only as long as my studies last,750,yes,Dios me al laundry,included,,Housing platform (dont remember name),NA;
1970-01-01 12:41:12.497361,45632.0771469713,,20,Woman,Germany,Only studying,2 year,Rental with a private landlord,110,0,Center,,1 year study,I will move to another residence for the duration of my studies.,590,Wi-Fi water everything,"towel and bed linen laundry, breakfast, lunch and dinner",100,Yes,IE,High prices;
1970-01-01 12:41:17.524005,45672.4802765503,,19,Man,Spain,Only studying,2 yeats,Rental with a private landlord,90,0,Center,,10 month,I will move to another residence for the duration of my studies.,1150,yes,None,Included,No,Strident houses,High prices;None met my expectations;
1970-01-01 12:41:06.52463,45669.1988040972,,19,Woman,India,Only studying,2 yesrs,Student residence ,80m2,0,Plaza mayor,,10 months,I will move to another residence for the duration of my studies.,730,Everything,Everything included,50€ each full cleaning manteinance included,,Vizcaínos idealista,
1970-01-01 12:40:15.784826,45677.5885532407,,18,Man,Spain,Only studying,2 year,Rental with a company,12m2,4,San Lorenzo,anonymous,9 month,I will move to another residence for the duration of my studies.,1500,Internet agua electricidad,"Full Board, daily bedroom cleaning, weekly bed linen and towel laundry service",laundry for 25€,,Housing platform (dont remember name),High prices;Availability;
1970-01-01 12:40:45.428924,45650.3303374918,,19,Man,USA,Only studying,1 semester,Student residence ,80,3,San Lorenzo,,Ayuden year,I will move to another residence for the duration of my studies.,750,all,Everything included,included,No,Friend,NA;
1970-01-01 12:41:17.577187,45663.0460432476,,20,Man,Spain,Only studying,1 year,Rental with a private landlord,30m2,0,Acueducto,anonymous,Academics year,I will move to another residence for the duration of my studies.,1500,Yes,Cleaning and manteinance,100,,Strident houses,Availability;
1970-01-01 12:41:06.50912,45677.5885532407,,19,Woman,Seitzerlan turkey,Only studying,2 years,Rental with a company,20,3,Center,anonymous,9 month,I will stay only as long as my studies last,650,,Cleaning,100,No,Idelaista,High prices;Availability;
1970-01-01 12:41:17.578461,45639.8706440475,,21,Woman,Española,Only studying,6 month,Rental with a company,120,0,Acueduct,anonymous,Academic year,I will stay only as long as my studies last,,No,Cleaning,NA,Yes,Beyond IE,High prices;
1970-01-01 12:41:17.55934,45670.0191722105,,18,Woman,French lebanese,Only studying,6 month,Rental with a private landlord,95,3,San Lorenzo,,1 academic year,I will move to another residence for the duration of my studies.,960,All foo,cleaning and maintenance,50€ each full cleaning manteinance included,No,Ie,
1970-01-01 12:41:06.51912,45673.9159207486,,21,Man,Luxembourgh,Only studying,6 month,Rental with a private landlord,30m2,0,Centre,anonymous,,I will move to another residence for the duration of my studies.,500,Gas electric unit,All but cleaning,50€ each full cleaning manteinance included,No,Vizcaínos idealista,High prices;
1970-01-01 12:41:13.691042,45677.5885532407,,20,Woman,USA,Only studying,6 months,Rental with a private landlord,85 70,1,Acueduxt San lorenzo,anonymous,5 months,I will move to another residence for the duration of my studies.,1540,All foo,"Full Board, daily bedroom cleaning, weekly bed linen and towel laundry service",-,,Strident houses,High prices;Availability;
1970-01-01 12:41:17.548021,45675.7617490034,,22,Woman,India,Only studying,2 year,Rental with a private landlord,20m2,0,Center,anonymous,6 months,I will stay only as long as my studies last,1150,Full board,All cleaning food,NA,,Beyond ie,
1970-01-01 12:41:12.497361,45655.0474541431,,19,Man,Spain/China,Only studying,2 year,Rental with a private landlord,95,0,San Lorenzo,anonymous,6 month,I will move to another residence for the duration of my studies.,1400,Everything,Cleaning and food (media pensión),laundry for 25€,Yes,Inn family,High prices;
1970-01-01 12:41:17.543866,45657.3034664546,,19,Woman,Italy,Only studying,4 years,Student residence ,300m2,2,Center,anonymous,Academics year,I will move to another residence for the duration of my studies.,590,All,Cleaning Laundry,50€ each full cleaning manteinance included,Yes,Idealista,High prices;None met my expectations;
1970-01-01 12:41:17.58191,45669.8140801822,,19,Prefer not to say,Spain,Only studying,4 years,Rental with a company,100m2,1,Center,,Study year,I will stay only as long as my studies last,1300,Gas electric unit,manteinance and cleaning,100,,Beyond IE,High prices;
1970-01-01 12:41:17.548021,45671.4548164087,,18,Woman,Philippines,Only studying,2 years,Rental with a private landlord,15,1,Acueducto,,Ayuden year,I will move to another residence for the duration of my studies.,900,Internet agua electricidad,All cleaning food,Included,,Idelaista,High prices;None met my expectations;
1970-01-01 12:40:45.428924,45673.0955526353,,18,Man,Phillipines,Only studying,1 year a half,Student residence ,300,4,Acueducto,anonymous,Julio 2025,I will move to another residence for the duration of my studies.,1250,Gas electric unit,All,Included,No,Betina camous,Availability;High prices;
1970-01-01 12:41:06.482535,45677.5885532407,,18,Man,Italy,Only studying,1 year a half,Student residence ,300,0,Center,anonymous,Study year,I will move to another residence for the duration of my studies.,700,Yes,Laundry and cleaning,included,Yes,Inn family,Availability;High prices;
1970-01-01 12:41:06.493299,45677.5885532407,,18,Woman,Colombia,Only studying,1 year,Rental with a private landlord,20m2,2,Acueduct,,10 month,I will stay only as long as my studies last,750,No,1100 limpieza y comida,included,Yes,Ie,High prices;
1970-01-01 12:40:18.890069,45667.5580678706,,19,Man,El Salvador,Only studying,2 year,Student residence ,Studio,5,Centre,anonymous,,I will move to another residence for the duration of my studies.,590,No,None,Included,Yes,Idealista,NA;
1970-01-01 12:41:12.488113,45665.0969635308,,18,Man,Spain,Only studying,2 year,Student residence ,20m2,0,San Lorenzo,anonymous,Academic year,I will move to another residence for the duration of my studies.,1400,Internet agua electricidad,Limpieza opcional,100,No,Beyond ie,High prices;None met my expectations;
1970-01-01 12:41:12.497361,45674.3261048052,,20,Woman,French lebanese,Only studying,2,Student residence ,12m2,1,San Lorenzo,anonymous,Julio 2025,I will stay only as long as my studies last,730,Everything,"Full Board, weekly bed linen and towel laundry service and cleaning",,,Beyond campus,
1970-01-01 12:41:13.691042,45669.8140801822,,19,Man,Philippines,Only studying,2 years,Rental with a private landlord,15,3,Center,anonymous,Julio 2025,I will move to another residence for the duration of my studies.,1500,yes,"all included, cleaning, full board, manteinance, bed linen and towels laundry",,,Idealista,Availability;
1970-01-01 12:41:17.577187,45628.3854904615,,20,Woman,Brazil,Only studying,2 years,Rental with a private landlord,85 70,0,Center,,1 academic year,I will move to another residence for the duration of my studies.,1250,Yes,"half board, bed linen and towel change weekly, bedroom cleaning daily, manteinance",-,Yes,beyond ie,High prices;
1970-01-01 12:41:17.550949,45658.1238345679,,18,Woman,Argentina,Only studying,1 year,Student residence ,105,1,San Lorenzo,,6 month,I will move to another residence for the duration of my studies.,700,Yes,Limpieza opcional,-,No,beyond campus,High prices;
1970-01-01 12:41:06.482535,45671.4548164087,,18,Man,Hungary,Only studying,6 month,Student residence ,60m2,1,San Lorenzo,anonymous,6 month,I will stay only as long as my studies last,700,Gas electric unit,1100 limpieza y comida,100,,Vizcaínos idealista,Availability;
1970-01-01 12:40:23.657188,45613.2086803659,,18,Woman,USA,Only studying,9 months,Rental with a company,300m2,0,Acueduxt San lorenzo,anonymous,5 months,I will stay only as long as my studies last,650,yes,"Manteinance, cleaning once a week and information",50€ each full cleaning manteinance included,Yes,Beyond ie,High prices;
1970-01-01 12:40:29.814005,45677.5885532407,,18,Man,Italy,Only studying,2 year,Rental with a private landlord,80m2,0,Acueduct,,Academics year,I will stay only as long as my studies last,,All,Dios me al laundry,,,Beyond IE,High prices;
1970-01-01 12:41:17.529201,45666.3275157007,,21,Woman,Hungary,Only studying,2 yesrs,Rental with a private landlord,95,0,San Facundo,,5 months,I will stay only as long as my studies last,1300,,Cleaning Laundry,laundry for 25€,No,,High prices;Availability;
1970-01-01 12:41:17.564988,45614.2341405075,,19,Woman,Spain,Only studying,6 month,Rental with a private landlord,110,2,Center,,Ayuden year,I will stay only as long as my studies last,500,Wi-Fi water everything,Dios me al laundry,laundry for 25€,,beyond ie,High prices;None met my expectations;
1970-01-01 12:41:11.462384,45677.5885532407,,22,Woman,Germany,Only studying,2 yeas,Student residence ,20,2,Center,,10 months,I will stay only as long as my studies last,1000,No,weekly cleaning and optional laundry,50€ each full cleaning manteinance included,Yes,Betina camous,Availability;High prices;
1970-01-01 12:40:29.810937,45677.5885532407,,20,Woman,Colombia,Only studying,2,Rental with a private landlord,10m2,2,Center,anonymous,6 month,I will stay only as long as my studies last,500,Full board,All cleaning food,50€ each full cleaning manteinance included,,Te tal Agency,High prices;Availability;
1970-01-01 12:41:17.58397,45668.1733439556,,18,Woman,France,Only studying,9 months,Rental with a private landlord,130,1,Center,,6 month,I will stay only as long as my studies last,750,Yes,"Half board, cleaning just common areas and weekly bathroom cleaning, bed linen and towels laundry",Included,No,beyond campus,
1970-01-01 12:41:12.494572,45670.6344482954,,18,Man,Us,Only studying,6 month,Rental with a private landlord,20m2,0,Acueducto,anonymous,,I will stay only as long as my studies last,1400,All,cleaning and maintenance,Included,Yes,,Availability;
1970-01-01 12:41:12.502083,45677.5885532407,,19,Woman,India,Only studying,2 alis,Student residence ,300m2,0,Center,anonymous,,I will move to another residence for the duration of my studies.,1150,Full board,"Half board, cleaning just common areas and weekly bathroom cleaning, bed linen and towels laundry",-,,Betina camous,High prices;Availability;
1970-01-01 12:41:06.493299,45677.5885532407,,18,Man,Danish,Only studying,1 semester,Rental with a private landlord,300m2,3,Berber denporreros,anonymous,10 mints academic year,I will move to another residence for the duration of my studies.,750,Full board,Cleaning and food (media pensión),,No,,Availability;
1970-01-01 12:41:17.543866,45670.0191722105,,22,Man,Luxembourgh,Only studying,9 months,Student residence ,100,2,Acueduxt San lorenzo,,Study year,I will stay only as long as my studies last,500,Internet agua electricidad,No,included,Yes,Idealista,NA;
1970-01-01 12:41:06.476806,45668.9937120689,,19,Woman,Ireland,Only studying,2 year,Rental with a company,160,2,Center,anonymous,6 months,I will move to another residence for the duration of my studies.,1050,All foo,Laundry and cleaning,-,,Vizcaínos idealista,High prices;
1970-01-01 12:40:18.883924,45667.763159899,,19,Man,Argentina,Only studying,1 year a half,Rental with a private landlord,12m2,1,center,anonymous,9 months,I will stay only as long as my studies last,900,Gas electric unit,"all included, cleaning, full board, manteinance, bed linen and towels laundry",,No,Inn family,High prices;Availability;
1970-01-01 12:41:06.491644,45662.020583106,,21,Man,India,Only studying,2 yeats,Student residence ,20m2,1,Centre,anonymous,1 academic year,I will move to another residence for the duration of my studies.,750,Wi-Fi water everything,"Full Board, weekly bed linen and towel laundry service and cleaning",100,No,vizcainos,High prices;None met my expectations;
1970-01-01 12:40:14.323403,45636.1789875377,,18,Woman,Germany,Only studying,1 year,Rental with a private landlord,100m2,0,Acueducto,,Study year,I will stay only as long as my studies last,960,Everything,"Daily cleaning, laundry, full board and parking",included,Yes,IE,Availability;High prices;
1970-01-01 12:41:17.586123,45674.7362888618,,18,Woman,Argentina,Only studying,1 year,Student residence ,130,2,San Nicolás,anonymous,1 academic year,I will move to another residence for the duration of my studies.,1200,Gas electric unit,Everything included,NA,Yes,Beyind campos,
1970-01-01 12:40:18.890069,45668.3784359839,,20,Woman,Germany,Only studying,2 year,Rental with a company,80m2,5,Villaroma,,1 year,I will stay only as long as my studies last,1300,Wi-Fi water everything,"Half board, cleaning just common areas and weekly bathroom cleaning, bed linen and towels laundry",NA,No,Beyind campos,NA;
1970-01-01 12:40:29.814005,45677.5885532407,,18,Woman,Argentina,Only studying,2 years,Rental with a company,80,0,Center,,10 months,I will stay only as long as my studies last,1050,Everything,"Half board, cleaning just common areas and weekly bathroom cleaning, bed linen and towels laundry",50€ each full cleaning manteinance included,,Beyond camous,High prices;None met my expectations;
1970-01-01 12:41:06.498611,45677.5885532407,,18,Man,Spanish Egyptian,Only studying,9 months,Rental with a private landlord,75m,1,San Lorenzo,anonymous,5 months,I will move to another residence for the duration of my studies.,1880,Everything,"half board, bed linen and towel change weekly, bedroom cleaning daily, manteinance",100,No,Vizcaínos idealista,High prices;
1970-01-01 12:40:18.885683,45667.763159899,,18,Man,USA,Only studying,1 year a half,Rental with a company,95,1,Plaza Mayor,anonymous,5 months,I will stay only as long as my studies last,590,Yes,50!yhree montha,included,No,Idealista,High prices;Availability;
1970-01-01 12:41:17.564988,45677.5885532407,,18,Woman,France,Only studying,6 month,Rental with a private landlord,80m2,1,Center,,Academics year,I will stay only as long as my studies last,275,yes,"Half board, cleaning just common areas and weekly bathroom cleaning, bed linen and towels laundry",NA,Yes,Beyond ie,Availability;
1970-01-01 12:41:06.513125,45627.9753064049,,20,Woman,Belgium,Only studying,6 month,Student residence ,100,0,San Lorenzo,,6 months,I will move to another residence for the duration of my studies.,1350,Gas electric unit,weekly cleaning and optional laundry,laundry for 25€,Yes,IE,NA;
1970-01-01 12:40:18.890069,45670.6344482954,,18,Woman,Luxembourgh,Only studying,9 months,Rental with a private landlord,110,2,Center,anonymous,1 curso académico,I will stay only as long as my studies last,1350,Gas electric unit,Breakfast cleaning gym,Included,Yes,Beyind campos,
1970-01-01 12:40:29.810937,45617.3105209323,,20,Woman,Colombia,Only studying,1 year,Rental with a private landlord,10,5,Acueduct,,Año académico.,I will stay only as long as my studies last,1540,No,cleaning and maintenance,,,beyond ie,High prices;
1970-01-01 12:41:12.497361,45652.7914418316,,20,Woman,USA,Only studying,4 years,Student residence ,15,0,San Lorenzo,anonymous,,I will stay only as long as my studies last,900,all,weekly cleaning and optional laundry,,Yes,Ie,High prices;
1970-01-01 12:41:06.48375,45664.4816874458,,19,Man,Lebanon,Only studying,2 years,Rental with a company,80,4,San Facundo,anonymous,Julio 2025,I will stay only as long as my studies last,275,All,Laundry and cleaning,,,Beyond campus,
1970-01-01 12:41:17.58397,45629.8211346598,,20,Woman,India,Only studying,6 month,Student residence ,80,3,Center,anonymous,Ayuden year,I will stay only as long as my studies last,875,All foo,Cleaning Laundry,Included,,Betina camous,High prices;Availability;
1970-01-01 12:40:18.883924,45677.5885532407,,18,Man,Us,Only studying,1 year,Rental with a private landlord,20m2,1,Factory,anonymous,Academics year,I will stay only as long as my studies last,1300,Gas electric unit,Cleaning once a week,-,Yes,Beyind campos,High prices;None met my expectations;
1970-01-01 12:41:17.517894,45650.3303374918,,20,Man,El Salvador,Only studying,2 year,Student residence ,85 70,2,Center,,1 year,I will move to another residence for the duration of my studies.,1150,yes,Cleaning,laundry for 25€,,Beyind campos,High prices;
1970-01-01 12:41:17.577187,45662.020583106,,18,Woman,USA,Only studying,2 yeats,Rental with a private landlord,60m2,1,Center,anonymous,Año académico.,I will stay only as long as my studies last,875,Internet agua electricidad,Breakfast cleaning gym,-,No,Friend,High prices;None met my expectations;
1970-01-01 12:40:18.883924,45677.5885532407,,18,Man,Italy,Only studying,2 year,Rental with a private landlord,20m2,4,Acueducto,anonymous,1 year study,I will stay only as long as my studies last,400,Full board,"all included, cleaning, full board, manteinance, bed linen and towels laundry",50€ each full cleaning manteinance included,No,,NA;
1970-01-01 12:41:17.548021,45677.5885532407,,18,Woman,Española,Only studying,2y,Student residence ,30m2,1,Center,anonymous,9 month,I will move to another residence for the duration of my studies.,1500,Wi-Fi water everything,"Daily cleaning, laundry, full board and parking",NA,,Beyond ie,High prices;None met my expectations;
1970-01-01 12:41:06.529549,45669.4038961255,,20,Man,El Salvador,Only studying,2 year,Rental with a private landlord,20,0,Center,anonymous,Ayuden year,I will stay only as long as my studies last,1100,All foo,1100 limpieza y comida,Included,No,,High prices;
1970-01-01 12:41:12.491157,45676.5821171167,,19,Man,Lebanon,Only studying,1 year a half,Student residence ,120,3,center,,Julio 2025,I will stay only as long as my studies last,1350,Full board,Cleaning Laundry,100,Yes,Betina camous,High prices;
1970-01-01 12:41:17.55934,45677.5885532407,,20,Man,India,Only studying,1 year a half,Rental with a private landlord,75m,2,Acueduct,anonymous,1 academic year,I will move to another residence for the duration of my studies.,900,all,All cleaning food,,,,Availability;
1970-01-01 12:41:12.497361,45674.5311968335,,21,Man,Brazil,Only studying,1 year a half,Rental with a private landlord,160,0,Plaza mayor,,10 month,I will move to another residence for the duration of my studies.,650,Everything,No,,No,Beyond campus,Availability;
1970-01-01 12:41:06.529549,45673.0955526353,,19,Man,Italian,Only studying,4 years,Rental with a company,80m2,3,San Lorenzo,anonymous,Año académico.,I will move to another residence for the duration of my studies.,1200,all,Breakfast cleaning gym,50€ each full cleaning manteinance included,Yes,Te tal Agency,High prices;None met my expectations;
1970-01-01 12:41:17.548021,45674.5311968335,,18,Woman,Española,Only studying,1 year,Student residence ,30m2,0,Berber denporreros,,Study year,I will move to another residence for the duration of my studies.,1300,All,Laundry and cleaning,laundry for 25€,No,Te tal Agency,NA;
1970-01-01 12:41:06.493299,45675.5566569751,,20,Woman,Hungary,Only studying,1 semester,Rental with a private landlord,160,4,San Lorenzo,,Academic year,I will stay only as long as my studies last,1100,Yes,Everything even healthcare,NA,Yes,IE,NA;
1970-01-01 12:40:11.788356,45677.5885532407,,19,Woman,USA,Only studying,2 yesrs,Rental with a private landlord,20m2,2,San Nicolás,anonymous,9 month,I will stay only as long as my studies last,1000,Yes,No,50€ each full cleaning manteinance included,No,Vizcaínos idealista,High prices;None met my expectations;
1970-01-01 12:40:18.882222,45671.659908437,,18,Man,Belgium,Only studying,1 year a half,Family home ,160,0,Acueduxt San lorenzo,anonymous,1 year,I will move to another residence for the duration of my studies.,750,Gas electric unit,"Full Board, bed linen and towel laundry service",included,,Beyond camous,High prices;None met my expectations;
1970-01-01 12:40:29.814005,45633.5127911695,,18,Man,Georgia,Only studying,1 year,Rental with a private landlord,160,2,Acueduct,anonymous,9  months,I will stay only as long as my studies last,500,yes,weekly cleaning and optional laundry,included,No,beyond campus,NA;
1970-01-01 12:41:17.548021,45666.9427917857,,18,Man,USA,Only studying,2 years,Student residence ,20m2,0,center,,6 months,I will move to another residence for the duration of my studies.,1500,No,All,,No,,High prices;None met my expectations;
1970-01-01 12:41:06.493299,45672.6853685786,,18,Woman,USA,Only studying,1 semester,Rental with a private landlord,300m2,0,Acueduct,,1 curso académico,I will move to another residence for the duration of my studies.,1500,Gas electric unit,manteinance and cleaning,included,,Housing platform (dont remember name),
1970-01-01 12:40:14.323403,45611.7920601852,,20,Woman,Spain,Only studying,2 years,Rental with a private landlord,100,0,Center,anonymous,10 months,I will move to another residence for the duration of my studies.,650,All,"Full Board, weekly bed linen and towel laundry service and cleaning",-,Yes,Strident houses,High prices;None met my expectations;
1970-01-01 12:41:17.550949,45669.1988040972,,20,Woman,Seitzerlan turkey,Only studying,1 semester,Rental with a private landlord,Studio,0,center,,9 month,I will stay only as long as my studies last,400,Everything,Dios me al laundry,-,No,Betina camous,NA;
1970-01-01 12:41:17.58397,45640.6910121607,,19,Non-binary,Española,Only studying,2 year,Rental with a company,150,5,Berber denporreros,anonymous,Academics year,I will move to another residence for the duration of my studies.,1500,All foo,Cleaning once a week,included,No,,Availability;
1970-01-01 12:41:17.564988,45672.4802765503,,18,Man,Spanish Egyptian,Only studying,1 year a half,Student residence ,10,0,Centre,,10 mints academic year,I will move to another residence for the duration of my studies.,960,No,1100 limpieza y comida,NA,,Strident houses,Availability;High prices;
1970-01-01 12:40:29.810937,45628.7956745182,,22,Man,El Salvador,Only studying,2 years,Rental with a company,150,1,Center,anonymous,Study year,I will move to another residence for the duration of my studies.,750,Internet agua electricidad,"Half board, cleaning just common areas and weekly bathroom cleaning, bed linen and towels laundry",laundry for 25€,,Beyond IE,High prices;None met my expectations;
1970-01-01 12:41:17.564988,45668.1733439556,,17,Woman,Spanish Egyptian,Only studying,6 months,Rental with a private landlord,110,4,Acueduct,,10 month,I will stay only as long as my studies last,1350,yes,"Full Board, weekly bed linen and towel laundry service and cleaning",included,Yes,Beyond ie,High prices;Availability;
1970-01-01 12:41:17.55934,45662.635859191,,18,Woman,Brazil,Only studying,2,Rental with a private landlord,120,0,Acueduct,,9 month,I will move to another residence for the duration of my studies.,1300,No,"Full Board, daily bedroom cleaning, weekly bed linen and towel laundry service",100,No,Idelaista,High prices;
1970-01-01 12:40:18.885683,45659.3543867378,,19,Woman,USA,Only studying,9 months,Rental with a private landlord,100m2,4,San Lorenzo,,Julio 2025,I will move to another residence for the duration of my studies.,1300,All foo,Everything included,50€ each full cleaning manteinance included,,Idealista,Availability;High prices;
1970-01-01 12:41:12.502083,45656.893282398,,22,Man,USA,Only studying,1 semester,Student residence ,300m2,0,Center,anonymous,1 academic year,I will move to another residence for the duration of my studies.,1500,Everything,"all included, cleaning, full board, manteinance, bed linen and towels laundry",included,No,beyond ie,High prices;Availability;
1970-01-01 12:41:17.535648,45670.0191722105,,19,Woman,Lebanese,Only studying,2 yeas,Student residence ,95,5,Center,anonymous,1 year,I will stay only as long as my studies last,1050,Wi-Fi water everything,cleaning and maintenance,NA,,Friend,High prices;
1970-01-01 12:41:12.497361,45677.5885532407,,18,Man,Spain/China,Only studying,2 year,Rental with a company,80,2,"Residencia al lado,  center",anonymous,1 year,I will move to another residence for the duration of my studies.,1000,,None,50€ each full cleaning manteinance included,Yes,IE,High prices;None met my expectations;
1970-01-01 12:41:17.578461,45677.5885532407,,19,Woman,Italy,Only studying,2 years,Rental with a private landlord,50m2,0,Acueducto,,1 curso académico,I will stay only as long as my studies last,1200,All,"Manteinance, cleaning once a week and information",-,No,Te tal Agency,High prices;
1970-01-01 12:41:06.513125,45657.3034664546,,18,Woman,Italy,Only studying,2 year,Rental with a private landlord,20m2,2,Plaza Mayor,,9 months,I will stay only as long as my studies last,590,Gas electric unit,None,100,Yes,beyond ie,Availability;
1970-01-01 12:41:17.564988,45674.9413808902,,24,Woman,El Salvador,Only studying,9 months,Student residence ,60m2,5,Acueducto,anonymous,Academics year,I will stay only as long as my studies last,1000,Internet agua electricidad,Laundry and cleaning,100,No,Inn family,
1970-01-01 12:41:12.494572,45671.2497243804,,20,Woman,Hungría,Only studying,2 years,Student residence ,60m2,5,Calle Juan bravo,,,I will move to another residence for the duration of my studies.,960,Internet agua electricidad,"Full Board, bedroom cleaning, bed linen and towel laundry service",laundry for 25€,No,Beyond camous,High prices;
1970-01-01 12:41:06.51912,45611.7920601852,,20,Man,USA,Only studying,4 years,Student residence ,120,0,Acueducto,anonymous,1 curso académico,I will move to another residence for the duration of my studies.,1000,Wi-Fi water everything,1100 limpieza y comida,-,No,,Availability;
1970-01-01 12:40:15.784826,45677.5885532407,,18,Man,Spain,Only studying,1 year,Rental with a private landlord,20,0,center,,Academics year,I will move to another residence for the duration of my studies.,820,No,Laundry and cleaning,100,Yes,Beyond IE,High prices;Availability;
1970-01-01 12:41:17.58191,45677.5885532407,,19,Woman,Mexico,Only studying,2 year,Student residence ,160,2,San Lorenzo,,9 months,I will move to another residence for the duration of my studies.,400,Yes,All,laundry for 25€,Yes,Friend,High prices;
